i: 0 j: 1 angle:     ;  66.1468
i: 0 j: 2 angle:     ;  66.1468
i: 0 j: 3 angle:     ;  66.1468
i: 0 j: 4 angle:     ;  66.1468
i: 0 j: 5 angle:     ;  101.023
i: 0 j: 6 angle:     ;  111.841
i: 0 j: 7 angle:     ;  122.291
i: 0 j: 8 angle:     ;  127.3
i: 0 j: 9 angle:     ;  165.384
i: 1 j: 2 angle:     ;  66.1468
i: 1 j: 3 angle:     ;  122.291
i: 1 j: 4 angle:     ;  101.023
i: 1 j: 5 angle:     ;  66.1468
i: 1 j: 6 angle:     ;  165.384
i: 1 j: 7 angle:     ;  66.1468
i: 1 j: 8 angle:     ;  127.3
i: 1 j: 9 angle:     ;  111.841
i: 2 j: 3 angle:     ;  66.1468
i: 2 j: 4 angle:     ;  131.609
i: 2 j: 5 angle:     ;  131.609
i: 2 j: 6 angle:     ;  127.3
i: 2 j: 7 angle:     ;  66.1468
i: 2 j: 8 angle:     ;  75.1712
i: 2 j: 9 angle:     ;  127.3
i: 3 j: 4 angle:     ;  87.6113
i: 3 j: 5 angle:     ;  153.758
i: 3 j: 6 angle:     ;  66.1468
i: 3 j: 7 angle:     ;  118.631
i: 3 j: 8 angle:     ;  66.1468
i: 3 j: 9 angle:     ;  122.291
i: 4 j: 5 angle:     ;  66.1468
i: 4 j: 6 angle:     ;  66.1468
i: 4 j: 7 angle:     ;  153.758
i: 4 j: 8 angle:     ;  131.609
i: 4 j: 9 angle:     ;  101.023
i: 5 j: 6 angle:     ;  101.023
i: 5 j: 7 angle:     ;  87.6113
i: 5 j: 8 angle:     ;  131.609
i: 5 j: 9 angle:     ;  66.1468
i: 6 j: 7 angle:     ;  122.291
i: 6 j: 8 angle:     ;  66.1468
i: 6 j: 9 angle:     ;  66.1468
i: 7 j: 8 angle:     ;  66.1468
i: 7 j: 9 angle:     ;  66.1468
i: 8 j: 9 angle:     ;  66.1468
