i: 0 j: 1 angle:     ;  70.5288
i: 0 j: 2 angle:     ;  70.5288
i: 0 j: 3 angle:     ;  70.5288
i: 0 j: 4 angle:     ;  70.5288
i: 0 j: 5 angle:     ;  120
i: 0 j: 6 angle:     ;  120
i: 0 j: 7 angle:     ;  131.81
i: 0 j: 8 angle:     ;  131.81
i: 1 j: 2 angle:     ;  70.5288
i: 1 j: 3 angle:     ;  141.058
i: 1 j: 4 angle:     ;  96.3794
i: 1 j: 5 angle:     ;  70.5288
i: 1 j: 6 angle:     ;  131.81
i: 1 j: 7 angle:     ;  70.5288
i: 1 j: 8 angle:     ;  141.058
i: 2 j: 3 angle:     ;  96.3794
i: 2 j: 4 angle:     ;  141.058
i: 2 j: 5 angle:     ;  131.81
i: 2 j: 6 angle:     ;  70.5288
i: 2 j: 7 angle:     ;  70.5288
i: 2 j: 8 angle:     ;  141.058
i: 3 j: 4 angle:     ;  70.5288
i: 3 j: 5 angle:     ;  131.81
i: 3 j: 6 angle:     ;  70.5288
i: 3 j: 7 angle:     ;  141.058
i: 3 j: 8 angle:     ;  70.5288
i: 4 j: 5 angle:     ;  70.5288
i: 4 j: 6 angle:     ;  131.81
i: 4 j: 7 angle:     ;  141.058
i: 4 j: 8 angle:     ;  70.5288
i: 5 j: 6 angle:     ;  120
i: 5 j: 7 angle:     ;  70.5288
i: 5 j: 8 angle:     ;  70.5288
i: 6 j: 7 angle:     ;  70.5288
i: 6 j: 8 angle:     ;  70.5288
i: 7 j: 8 angle:     ;  96.3794
