i: 0 j: 1 angle:     ;  77.8695
i: 0 j: 2 angle:     ;  77.8695
i: 0 j: 3 angle:     ;  77.8695
i: 0 j: 4 angle:     ;  77.8695
i: 0 j: 5 angle:     ;  133.477
i: 0 j: 6 angle:     ;  148.654
i: 1 j: 2 angle:     ;  77.8695
i: 1 j: 3 angle:     ;  148.654
i: 1 j: 4 angle:     ;  115.707
i: 1 j: 5 angle:     ;  77.8695
i: 1 j: 6 angle:     ;  115.707
i: 2 j: 3 angle:     ;  77.8695
i: 2 j: 4 angle:     ;  148.654
i: 2 j: 5 angle:     ;  133.477
i: 2 j: 6 angle:     ;  77.8695
i: 3 j: 4 angle:     ;  77.8695
i: 3 j: 5 angle:     ;  133.477
i: 3 j: 6 angle:     ;  77.8695
i: 4 j: 5 angle:     ;  77.8695
i: 4 j: 6 angle:     ;  115.707
i: 5 j: 6 angle:     ;  77.8695
