i: 0 j: 1 angle:     ;  74.8585
i: 0 j: 2 angle:     ;  74.8585
i: 0 j: 3 angle:     ;  74.8585
i: 0 j: 4 angle:     ;  74.8585
i: 0 j: 5 angle:     ;  118.528
i: 0 j: 6 angle:     ;  141.592
i: 0 j: 7 angle:     ;  141.592
i: 1 j: 2 angle:     ;  118.528
i: 1 j: 3 angle:     ;  141.592
i: 1 j: 4 angle:     ;  74.8585
i: 1 j: 5 angle:     ;  74.8585
i: 1 j: 6 angle:     ;  141.592
i: 1 j: 7 angle:     ;  74.8585
i: 2 j: 3 angle:     ;  74.8585
i: 2 j: 4 angle:     ;  141.592
i: 2 j: 5 angle:     ;  74.8585
i: 2 j: 6 angle:     ;  74.8585
i: 2 j: 7 angle:     ;  141.592
i: 3 j: 4 angle:     ;  74.8585
i: 3 j: 5 angle:     ;  141.592
i: 3 j: 6 angle:     ;  74.8585
i: 3 j: 7 angle:     ;  118.528
i: 4 j: 5 angle:     ;  141.592
i: 4 j: 6 angle:     ;  118.528
i: 4 j: 7 angle:     ;  74.8585
i: 5 j: 6 angle:     ;  74.8585
i: 5 j: 7 angle:     ;  74.8585
i: 6 j: 7 angle:     ;  74.8585
